study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
book,,0,0,0,2,,,,,7.6444337,7.6444337,1.982857143,6.6633081,,,,,,,,,,,,,120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
cushion,,0,1,1,3,,,,,14.3422283,14.3422283,2.034285714,1.2496794,,,,,,,,,,,,,120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
vase,,0,2,2,0,,,,,15.6425805,15.6425805,2.034285714,1.2948289,,,,,,,,,,,,,120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
tiger,,0,3,3,1,,,,,16.9929129,16.9929129,1.068571429,1.4631484,,,,,,,,,,,,,120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
piano,,0,4,4,4,,,,,18.4749444,18.4749444,1.068571429,0.7582761,,,,,,,,,,,,,120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
,b_t_l_,,,,,0,0,0,5,,,,,19.3255029,19.3255029,19.3255029,0.0196073,bottle,[-0.012857142857142857],[-0.29],[1],[0],[0],[7.560360700008459],['text_3'],120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
,_a_t_p ,,,,,0,1,1,8,,,,,26.8582163,26.8582163,26.8582163,0.0051812,,[],[],[],[],[],[],[],120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
,_a_e,,,,,0,2,2,0,,,,,36.8731546,36.8731546,36.8731546,0.0153978,vase,[-0.04857142857142857],[-0.31],[1],[0],[0],[5.777859299996635],['text_3'],120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
,hi_to_y,,,,,0,3,3,9,,,,,42.6558693,42.6558693,42.6558693,0.0088477,history,[-0.002857142857142857],[-0.2985714285714286],[1],[0],[0],[5.022059199996875],['text_3'],120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
Sanjana,t_g_r,,,,,0,4,4,1,,,,,47.688193,47.688193,47.688193,0.004671,tiger,[-0.017142857142857144],[-0.29],[1],[0],[0],[3.7425947000010638],['text_3'],120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
,_oo_,,,,,0,5,5,2,,,,,51.4381034,51.4381034,51.4381034,0.0045284,cool,[0.015714285714285715],[-0.2914285714285714],[1],[0],[0],[2.827277899996261],['text_3'],120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
,p_n,,,,,0,6,6,6,,,,,54.2711365,54.2711365,54.2711365,0.0049959,pen,[-0.04285714285714286],[-0.3057142857142857],[1],[0],[0],[3.957580300004338],['text_3'],120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
,c_s_i_n,,,,,0,7,7,3,,,,,58.2370705,58.2370705,58.2370705,0.0045851,cushion,[-0.05142857142857143],[-0.30142857142857143],[1],[0],[0],[4.160819500000798],['text_3'],120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
,_ia_o,,,,,0,8,8,4,,,,,62.4035792,62.4035792,62.4035792,0.0051669,piano,[0.07142857142857142],[-0.29],[1],[0],[0],[5.008852000013576],['text_3'],120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
,li_e,,,,,0,9,9,7,,,,,67.4197742,67.4197742,67.4197742,0.0050335,life,[-0.041428571428571426],[-0.29428571428571426],[1],[0],[0],[4.309530400001677],['text_3'],120474,1,2023-09-29_09h55.39.072,workprimingtask,2023.1.3,60.65325987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,proportion ,,,,,,,,,,,,
,,,,,,,,,"priming score, you take the proportion of words correctly responded to from the study list - the words that were not In the study list but were correctly identified (subtract those two values - priming score",,,,,No. of hit ( study list correctly spell it) = ,,,,4*10,0.004,0.4,,,,,,,,,,,
,,,,,,,,,,,,,,No. of hit ( non primed correctly spell it) = ,,,,4*10,0.004,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Priming score =,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pushkar,hi_to_y,,,,,0,0,0,9,,,,,29.0599635,29.0599635,29.0599635,0.0138353,,,,,,,,,,,,,,
,_a_e,,,,,0,1,1,0,,,,,39.0756332,39.0756332,39.0756332,0.0189944,vase,,,,,,,,,,,,,
,h_ir,,,,,0,2,2,10,,,,,42.7917324,42.7917324,42.7917324,0.0042175,hair,,,,,,,,,,,,,
,_a_t_p ,,,,,0,3,3,8,,,,,48.4747311,48.4747311,48.4747311,0.0053968,laptop,,,,,,,,,,,,,
,li_e,,,,,0,4,4,7,,,,,57.2402161,57.2402161,57.2402161,0.004683,like,,,,,,,,,,,,,
,a_p_e,,,,,0,5,5,12,,,,,60.7059099,60.7059099,60.7059099,0.0057356,apple,,,,,,,,,,,,,
,c_s_i_n,,,,,0,6,6,3,,,,,62.7896447,62.7896447,62.7896447,0.0049973,cushion,,,,,,,,,,,,,
,_ia_o,,,,,0,7,7,4,,,,,66.1390598,66.1390598,66.1390598,0.0056993,piano,,,,,,,,,,,,,
,t_xt,,,,,0,8,8,16,,,,,71.4049515,71.4049515,71.4049515,0.0107183,text,,,,,,,,,,,,,
,v_o_i_,,,,,0,9,9,15,,,,,76.6875203,76.6875203,76.6875203,0.0049537,violin,,,,,,,,,,,,,
,_oo_,,,,,0,10,10,2,,,,,82.3870367,82.3870367,82.3870367,0.0057475,poop,,,,,,,,,,,,,
,l_b,,,,,0,11,11,11,,,,,87.5697956,87.5697956,87.5697956,0.0052156,lob,,,,,,,,,,,,,
,d_g,,,,,0,12,12,14,,,,,94.11869,94.11869,94.11869,0.010084,dog,,,,,,,,,,,,,
,p_n,,,,,0,13,13,6,,,,,98.0182201,98.0182201,98.0182201,0.0054357,pen,,,,,,,,,,,,,
,ca_,,,,,0,14,14,13,,,,,105.3510089,105.3510089,105.3510089,0.0042837,cat,,,,,,,,,,,,,
,t_g_r,,,,,0,15,15,1,,,,,109.4667384,109.4667384,109.4667384,0.0052616,tiger,,,,,,,,,,,,,
,b_t_l_,,,,,0,16,16,5,,,,,112.1662283,112.1662283,112.1662283,0.0059179,bottle,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit,4*17,0.235294118,0.002352941,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit(non primed),9*17,0.529411765,0.005294118,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,priming score,-0.002941176,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayushi,P_ste_,poster,old,,,,,0,0,0,15,,,,,50.6391408,50.6391408,50.6391408,0.015276,"poster
",,,,,,,,,,,
,P_str_,Pastry,old,,,,,0,1,1,11,,,,,57.6389308,57.6389308,57.6389308,0.0031434,poster,,,,,,,,,,,
,Pe_c_l,pencil,new,,,,,0,2,2,17,,,,,67.6524131,67.6524131,67.6524131,0.015381,pencil,,,,,,,,,,,
,T_hi_t,T-shirt,old,,,,,0,3,3,9,,,,,72.4983208,72.4983208,72.4983208,0.0033793,t-shirt,,,,,,,,,,,
,c_s_h_o_n,cushion,old,,,,,0,4,4,3,,,,,78.4822287,78.4822287,78.4822287,0.0028698,cushion,,,,,,,,,,,
,T_bl_,table,new,,,,,0,5,5,18,,,,,84.5284176,84.5284176,84.5284176,0.0037056,table,,,,,,,,,,,
,_sr_le,marble,old,,,,,0,6,6,16,,,,,88.9769213,88.9769213,88.9769213,0.0034026,,,,,,,,,,,,
,_a_e,vase,new,,,,,0,7,7,0,,,,,98.9904133,98.9904133,98.9904133,0.0158328,vase,,,,,,,,,,,
